num_domain,simple,simple_var,task_community,task_community_var,worker_community,worker_community_var,full,full_var
5,0.7160799999999999,0.00011331360000000029,0.71818,0.0001215355999999999,0.7369999999999999,0.0001148,0.7358399999999999,0.00010395839999999992
6,0.7320900000000001,0.00012047389999999994,0.735,0.00011388799999999996,0.7522300000000001,0.00010956110000000002,0.75309,0.00011088590000000014
7,0.74665,0.00019455149999999987,0.7487100000000001,0.0001957258999999999,0.76628,0.0002016936,0.7676799999999999,0.00020502959999999995
8,0.7627900000000001,8.95219e-05,0.7638400000000001,9.111840000000002e-05,0.7799,8.076200000000016e-05,0.78177,8.560109999999999e-05
9,0.77336,9.445040000000003e-05,0.7744199999999999,0.00010032759999999994,0.7898799999999999,8.423759999999985e-05,0.79233,8.992909999999982e-05
10,0.7764,0.00012558800000000034,0.77767,0.0001245171000000002,0.79239,0.00011065789999999996,0.7942500000000001,9.211550000000008e-05
11,0.7788200000000001,7.601959999999982e-05,0.78026,8.090040000000007e-05,0.7970599999999999,8.824439999999991e-05,0.79917,7.332909999999978e-05
12,0.7881,8.762999999999992e-05,0.79113,8.96850999999997e-05,0.80331,7.729389999999981e-05,0.8059899999999999,6.546989999999978e-05
13,0.7905,6.036599999999996e-05,0.7939200000000001,8.50256000000001e-05,0.8060500000000002,6.35954999999999e-05,0.80815,6.708349999999993e-05
14,0.7899200000000001,6.787359999999987e-05,0.79132,9.792159999999989e-05,0.8046099999999999,0.00010430590000000002,0.80657,0.00010611309999999999
15,0.79972,8.738960000000001e-05,0.80427,9.938910000000008e-05,0.81188,9.217759999999979e-05,0.81314,0.00011462439999999987
