num_worker,simple,simple_var,task_community,task_community_var,worker_community,worker_community_var,full,full_var
50,0.7870399999999999,0.00028339039999999993,0.78983,0.00026493309999999984,0.78855,0.0002759714999999999,0.7905399999999999,0.00029206039999999983
100,0.79027,0.00019500910000000006,0.7943299999999999,0.0001876851,0.79293,0.0001863651,0.7958000000000001,0.00019480399999999995
150,0.7893100000000001,0.0004144898999999998,0.79374,0.00044068039999999985,0.79373,0.00042139710000000015,0.79593,0.00041313310000000013
200,0.78481,0.00010156190000000003,0.78982,9.206360000000013e-05,0.79108,0.00010269759999999975,0.7942899999999999,8.434590000000006e-05
250,0.7828,0.00020607999999999963,0.7881300000000001,0.0002063811,0.79251,0.00020769790000000032,0.7948799999999999,0.0001939055999999993
300,0.7829,0.00022369000000000013,0.7877,0.0001976460000000004,0.7941599999999998,0.00019564239999999978,0.79653,0.00017801710000000005
350,0.77717,0.00013955709999999999,0.78124,0.00013467439999999953,0.7913500000000001,0.00012512350000000013,0.79403,0.00011083310000000013
400,0.7786100000000001,0.0001333739000000001,0.78118,0.00015023560000000023,0.7956299999999998,0.00013381310000000008,0.79835,0.00014441549999999977
450,0.7736099999999999,9.927390000000011e-05,0.7757099999999999,9.762590000000002e-05,0.7929099999999999,0.00010188589999999981,0.79448,9.663360000000001e-05
500,0.77821,5.326990000000012e-05,0.7790199999999998,4.911560000000008e-05,0.79522,4.517159999999994e-05,0.79791,4.881789999999993e-05
