num_task,simple,simple_var,task_community,task_community_var,worker_community,worker_community_var,full,full_var
500,0.7662000000000001,0.00022316000000000038,0.7658,0.0002135600000000004,0.7687999999999999,0.0002665600000000005,0.7683000000000001,0.0002537100000000004
1000,0.7795500000000001,0.00038324750000000025,0.7843500000000001,0.0005163275000000004,0.7877,0.0005761100000000006,0.7928499999999999,0.0005401274999999997
1500,0.7676333333333332,0.0002443322222222224,0.7679333333333334,0.00029470666666666696,0.7765,0.0003918611111111113,0.7804,0.0004165066666666671
2000,0.767975,0.000209186875,0.767225,0.00021521187499999998,0.7804999999999999,0.0002618750000000003,0.78435,0.00021612750000000024
2500,0.772,0.00018977599999999987,0.7826000000000001,0.00038810399999999996,0.7858600000000001,0.00029392440000000034,0.79016,0.00027888639999999976
3000,0.7721666666666666,0.0004207722222222223,0.7811166666666668,0.00037240305555555564,0.7815166666666667,0.0003597608333333332,0.7848666666666666,0.0003465488888888889
3500,0.7854428571428571,0.0003344773469387757,0.7915714285714286,0.00034423265306122465,0.7898142857142858,0.0003471124489795916,0.7932857142857144,0.0003376693877551014
4000,0.790375,0.0002912468750000002,0.7957749999999999,0.0003038368749999999,0.7941,0.00029230250000000026,0.79765,0.00031127124999999966
4500,0.7824444444444445,0.0001701827160493827,0.7867555555555554,0.00017674765432098752,0.7846111111111111,0.0001753820987654321,0.7875555555555556,0.00018269629629629613
5000,0.7849700000000001,0.00027666509999999987,0.78906,0.00027089240000000047,0.7873300000000001,0.0002989450999999998,0.79077,0.0002816731000000002
