num_domain,simple,simple_var,task_community,task_community_var,worker_community,worker_community_var,full,full_var
5,0.7159700000000001,0.00010461310000000018,0.71774,0.00010946039999999995,0.7368199999999999,7.171560000000002e-05,0.73497,9.173709999999997e-05
6,0.73333,9.781310000000008e-05,0.7356999999999999,8.448599999999983e-05,0.7523000000000001,0.00011312599999999966,0.75301,0.00010797789999999994
7,0.74873,5.717709999999988e-05,0.7495300000000001,5.3461100000000104e-05,0.76734,5.492040000000004e-05,0.76891,5.221789999999989e-05
8,0.7663199999999999,6.046159999999999e-05,0.76754,6.822039999999994e-05,0.7828,6.939599999999996e-05,0.7850699999999999,6.317709999999988e-05
9,0.7715799999999999,9.715559999999999e-05,0.7720400000000001,8.436640000000003e-05,0.78759,9.644589999999986e-05,0.79045,9.41115000000002e-05
10,0.7739,6.0241999999999977e-05,0.7757900000000001,6.862189999999981e-05,0.79173,8.004510000000017e-05,0.79464,7.814640000000013e-05
11,0.78033,8.537709999999999e-05,0.7808900000000001,8.904990000000029e-05,0.7968400000000002,0.00010565439999999998,0.7991699999999999,0.00010573309999999984
12,0.7904899999999999,8.868190000000005e-05,0.79422,9.839560000000024e-05,0.80655,9.797949999999992e-05,0.8092499999999999,8.388749999999971e-05
13,0.7922800000000001,5.532959999999974e-05,0.79532,6.222160000000001e-05,0.80747,5.7705100000000065e-05,0.8097899999999999,5.719389999999996e-05
14,0.7942699999999999,7.973309999999981e-05,0.79662,0.00011273559999999997,0.80948,8.18016e-05,0.8111700000000001,8.484909999999994e-05
15,0.8005600000000002,0.0001185184,0.80461,0.00012581790000000014,0.8128500000000001,0.00012453149999999986,0.81418,0.0001416396
