num_task,simple,simple_var,task_community,task_community_var,worker_community,worker_community_var,full,full_var
500,0.7761,0.00048179000000000033,0.7766,0.0004700399999999998,0.7839,0.00047098999999999953,0.7847000000000001,0.00045450999999999966
1000,0.7668999999999999,0.0003224900000000005,0.7719499999999999,0.0004527475000000008,0.7748,0.0004966600000000004,0.7798499999999999,0.0005550275000000004
1500,0.7683,0.00020082111111111072,0.7682666666666665,0.00021890666666666636,0.7802666666666666,0.00036468444444444435,0.7839,0.0003144566666666667
2000,0.7657,0.0002571599999999998,0.765625,0.00028192187500000005,0.7778,0.0003027100000000002,0.7809250000000001,0.0003315568750000005
2500,0.77688,0.0003650495999999999,0.78852,0.0003942576000000002,0.7908199999999999,0.00035475960000000016,0.79378,0.00033319160000000014
3000,0.7826166666666667,0.000250169722222222,0.7902166666666666,0.00021540305555555524,0.7904166666666665,0.00022654305555555528,0.7930666666666666,0.00022329555555555548
3500,0.782557142857143,0.0004113834693877549,0.7878857142857143,0.00041695020408163297,0.7867571428571429,0.0004310879591836735,0.7898857142857143,0.0004067461224489797
4000,0.7883875,0.00027350296875000004,0.7936500000000001,0.0002647025,0.791625,0.000275490625,0.7953125000000001,0.00026364921875000007
4500,0.7838777777777778,0.0003400369135802468,0.7885777777777777,0.00032992296296296324,0.7862,0.00034111555555555557,0.7894333333333334,0.00034025913580246924
5000,0.78126,0.0002857844000000001,0.7847500000000001,0.00031269149999999944,0.7838200000000001,0.0002742996000000003,0.78605,0.00031735949999999965
