num_redundancy,simple,simple_var,task_community,task_community_var,worker_community,worker_community_var,full,full_var
5,0.7738499999999999,0.0004406275000000002,0.7787,0.00056401,0.78115,0.0006556275000000002,0.7865,0.0007241500000000002
6,0.82355,0.00037854749999999894,0.8306000000000001,0.0004748399999999991,0.8347000000000001,0.00046180999999999956,0.8384,0.00046973999999999974
7,0.8518999999999999,0.0002682900000000005,0.8566,0.0003549400000000006,0.8590500000000001,0.0003493475000000006,0.8646499999999999,0.0003765275000000007
8,0.88505,0.0001250475000000002,0.89015,0.00017212750000000028,0.8911500000000002,0.00013952750000000025,0.8948000000000003,0.0001469600000000003
9,0.9063999999999999,9.854000000000018e-05,0.9141,0.00010359000000000019,0.9141,9.289000000000016e-05,0.9178499999999998,9.182750000000014e-05
10,0.92225,0.0001846874999999998,0.9281499999999999,0.00018572749999999928,0.9286000000000001,0.00019523999999999925,0.9323,0.00017100999999999938
11,0.93625,0.00012178749999999928,0.9404499999999999,0.00010714749999999927,0.9413,9.430999999999935e-05,0.9430999999999999,0.00010818999999999941
12,0.9572999999999998,8.370999999999993e-05,0.9602999999999999,6.821000000000012e-05,0.9596499999999999,8.122750000000014e-05,0.9618999999999998,6.739000000000011e-05
13,0.9647500000000001,8.728750000000016e-05,0.9667,8.421000000000016e-05,0.9651499999999998,8.422750000000014e-05,0.9669500000000001,9.564750000000018e-05
14,0.9733500000000002,4.302750000000008e-05,0.9756499999999999,2.9927500000000055e-05,0.9748000000000001,3.8360000000000066e-05,0.9766499999999999,2.7927500000000047e-05
15,0.9729999999999999,5.8800000000000094e-05,0.9752000000000001,5.3060000000000085e-05,0.9737000000000002,5.3810000000000096e-05,0.9747999999999999,4.786000000000009e-05
