theta_dir_prior,pi_dir_prior,dir_prior_multiplier,accuracy
16,32,0,0.9081816363272655
16,32,1,0.9081816363272655
16,32,10,0.9081816363272655
16,32,50,0.9081816363272655
16,32,100,0.9081816363272655
16,32,500,0.9081816363272655
16,32,1000,0.9081816363272655
16,64,0,0.9047809561912382
16,64,1,0.9047809561912382
16,64,10,0.9047809561912382
16,64,50,0.9047809561912382
16,64,100,0.9047809561912382
16,64,500,0.9047809561912382
16,64,1000,0.9047809561912382
16,128,0,0.8987797559511902
16,128,1,0.8987797559511902
16,128,10,0.8987797559511902
16,128,50,0.8987797559511902
16,128,100,0.8987797559511902
16,128,500,0.8987797559511902
16,128,1000,0.8987797559511902
16,256,0,0.8931786357271454
16,256,1,0.8931786357271454
16,256,10,0.8931786357271454
16,256,50,0.8931786357271454
16,256,100,0.8931786357271454
16,256,500,0.8931786357271454
16,256,1000,0.8931786357271454
16,512,0,0.8897779555911183
16,512,1,0.8897779555911183
16,512,10,0.8897779555911183
16,512,50,0.8897779555911183
16,512,100,0.8897779555911183
16,512,500,0.8897779555911183
16,512,1000,0.8897779555911183
16,1024,0,0.8895779155831166
16,1024,1,0.8895779155831166
16,1024,10,0.8895779155831166
16,1024,50,0.8895779155831166
16,1024,100,0.8895779155831166
16,1024,500,0.8895779155831166
16,1024,1000,0.8895779155831166
32,1.0001,0,0.9095819163832767
32,1.0001,1,0.9095819163832767
32,1.0001,10,0.9095819163832767
32,1.0001,50,0.9095819163832767
32,1.0001,100,0.9095819163832767
32,1.0001,500,0.9095819163832767
32,1.0001,1000,0.9095819163832767
32,2,0,0.909381876375275
32,2,1,0.909381876375275
32,2,10,0.909381876375275
32,2,50,0.909381876375275
32,2,100,0.909381876375275
32,2,500,0.909381876375275
32,2,1000,0.909381876375275
32,4,0,0.9089817963592719
32,4,1,0.9089817963592719
32,4,10,0.9089817963592719
32,4,50,0.9089817963592719
32,4,100,0.9089817963592719
32,4,500,0.9089817963592719
32,4,1000,0.9089817963592719
32,8,0,0.9085817163432687
32,8,1,0.9085817163432687
32,8,10,0.9085817163432687
32,8,50,0.9085817163432687
32,8,100,0.9085817163432687
32,8,500,0.9085817163432687
32,8,1000,0.9085817163432687
32,16,0,0.9071814362872574
32,16,1,0.9071814362872574
32,16,10,0.9071814362872574
32,16,50,0.9071814362872574
32,16,100,0.9071814362872574
32,16,500,0.9071814362872574
32,16,1000,0.9071814362872574
32,32,0,0.9019803960792159
32,32,1,0.9019803960792159
32,32,10,0.9019803960792159
32,32,50,0.9019803960792159
32,32,100,0.9019803960792159
32,32,500,0.9019803960792159
32,32,1000,0.9019803960792159
32,64,0,0.8987797559511902
32,64,1,0.8987797559511902
32,64,10,0.8987797559511902
32,64,50,0.8987797559511902
32,64,100,0.8987797559511902
32,64,500,0.8987797559511902
32,64,1000,0.8987797559511902
32,128,0,0.8925785157031406
32,128,1,0.8925785157031406
32,128,10,0.8925785157031406
32,128,50,0.8925785157031406
32,128,100,0.8925785157031406
32,128,500,0.8925785157031406
32,128,1000,0.8925785157031406
32,256,0,0.8895779155831166
32,256,1,0.8895779155831166
32,256,10,0.8895779155831166
32,256,50,0.8895779155831166
32,256,100,0.8895779155831166
32,256,500,0.8895779155831166
32,256,1000,0.8895779155831166
32,512,0,0.8895779155831166
32,512,1,0.8895779155831166
32,512,10,0.8895779155831166
32,512,50,0.8895779155831166
32,512,100,0.8895779155831166
32,512,500,0.8895779155831166
32,512,1000,0.8895779155831166
32,1024,0,0.8895779155831166
32,1024,1,0.8895779155831166
32,1024,10,0.8895779155831166
32,1024,50,0.8895779155831166
32,1024,100,0.8895779155831166
32,1024,500,0.8895779155831166
32,1024,1000,0.8895779155831166
64,1.0001,0,0.9049809961992399
64,1.0001,1,0.9049809961992399
64,1.0001,10,0.9049809961992399
64,1.0001,50,0.9049809961992399
64,1.0001,100,0.9049809961992399
64,1.0001,500,0.9049809961992399
64,1.0001,1000,0.9049809961992399
64,2,0,0.9045809161832367
64,2,1,0.9045809161832367
64,2,10,0.9045809161832367
64,2,50,0.9045809161832367
64,2,100,0.9045809161832367
64,2,500,0.9045809161832367
64,2,1000,0.9045809161832367
64,4,0,0.9035807161432287
64,4,1,0.9035807161432287
64,4,10,0.9035807161432287
64,4,50,0.9035807161432287
64,4,100,0.9035807161432287
64,4,500,0.9035807161432287
64,4,1000,0.9035807161432287
64,8,0,0.9023804760952191
64,8,1,0.9023804760952191
64,8,10,0.9023804760952191
64,8,50,0.9023804760952191
64,8,100,0.9023804760952191
64,8,500,0.9023804760952191
64,8,1000,0.9023804760952191
64,16,0,0.9001800360072014
64,16,1,0.9001800360072014
64,16,10,0.9001800360072014
64,16,50,0.9001800360072014
64,16,100,0.9001800360072014
64,16,500,0.9001800360072014
64,16,1000,0.9001800360072014
64,32,0,0.8965793158631726
64,32,1,0.8965793158631726
64,32,10,0.8965793158631726
64,32,50,0.8965793158631726
64,32,100,0.8965793158631726
64,32,500,0.8965793158631726
64,32,1000,0.8965793158631726
64,64,0,0.8907781556311263
64,64,1,0.8907781556311263
64,64,10,0.8907781556311263
64,64,50,0.8907781556311263
64,64,100,0.8907781556311263
64,64,500,0.8907781556311263
64,64,1000,0.8907781556311263
64,128,0,0.8895779155831166
64,128,1,0.8895779155831166
64,128,10,0.8895779155831166
64,128,50,0.8895779155831166
64,128,100,0.8895779155831166
64,128,500,0.8895779155831166
64,128,1000,0.8895779155831166
64,256,0,0.8895779155831166
64,256,1,0.8895779155831166
64,256,10,0.8895779155831166
64,256,50,0.8895779155831166
64,256,100,0.8895779155831166
64,256,500,0.8895779155831166
64,256,1000,0.8895779155831166
64,512,0,0.8895779155831166
64,512,1,0.8895779155831166
64,512,10,0.8895779155831166
64,512,50,0.8895779155831166
64,512,100,0.8895779155831166
64,512,500,0.8895779155831166
64,512,1000,0.8895779155831166
64,1024,0,0.8895779155831166
64,1024,1,0.8895779155831166
64,1024,10,0.8895779155831166
64,1024,50,0.8895779155831166
64,1024,100,0.8895779155831166
64,1024,500,0.8895779155831166
64,1024,1000,0.8895779155831166
128,1.0001,0,0.8997799559911982
128,1.0001,1,0.8997799559911982
128,1.0001,10,0.8997799559911982
128,1.0001,50,0.8997799559911982
128,1.0001,100,0.8997799559911982
128,1.0001,500,0.8997799559911982
128,1.0001,1000,0.8997799559911982
128,2,0,0.8993798759751951
128,2,1,0.8993798759751951
128,2,10,0.8993798759751951
128,2,50,0.8993798759751951
128,2,100,0.8993798759751951
128,2,500,0.8993798759751951
128,2,1000,0.8993798759751951
128,4,0,0.8967793558711742
128,4,1,0.8967793558711742
128,4,10,0.8967793558711742
128,4,50,0.8967793558711742
128,4,100,0.8967793558711742
128,4,500,0.8967793558711742
128,4,1000,0.8967793558711742
128,8,0,0.8953790758151631
128,8,1,0.8953790758151631
128,8,10,0.8953790758151631
128,8,50,0.8953790758151631
128,8,100,0.8953790758151631
128,8,500,0.8953790758151631
128,8,1000,0.8953790758151631
128,16,0,0.8925785157031406
128,16,1,0.8925785157031406
128,16,10,0.8925785157031406
128,16,50,0.8925785157031406
128,16,100,0.8925785157031406
128,16,500,0.8925785157031406
128,16,1000,0.8925785157031406
128,32,0,0.8895779155831166
128,32,1,0.8895779155831166
128,32,10,0.8895779155831166
128,32,50,0.8895779155831166
128,32,100,0.8895779155831166
128,32,500,0.8895779155831166
128,32,1000,0.8895779155831166
128,64,0,0.8895779155831166
128,64,1,0.8895779155831166
128,64,10,0.8895779155831166
128,64,50,0.8895779155831166
128,64,100,0.8895779155831166
128,64,500,0.8895779155831166
128,64,1000,0.8895779155831166
128,128,0,0.8895779155831166
128,128,1,0.8895779155831166
128,128,10,0.8895779155831166
128,128,50,0.8895779155831166
128,128,100,0.8895779155831166
128,128,500,0.8895779155831166
128,128,1000,0.8895779155831166
128,256,0,0.8895779155831166
128,256,1,0.8895779155831166
128,256,10,0.8895779155831166
128,256,50,0.8895779155831166
128,256,100,0.8895779155831166
128,256,500,0.8895779155831166
128,256,1000,0.8895779155831166
128,512,0,0.8895779155831166
128,512,1,0.8895779155831166
128,512,10,0.8895779155831166
128,512,50,0.8895779155831166
128,512,100,0.8895779155831166
128,512,500,0.8895779155831166
128,512,1000,0.8895779155831166
128,1024,0,0.8895779155831166
128,1024,1,0.8895779155831166
128,1024,10,0.8895779155831166
128,1024,50,0.8895779155831166
128,1024,100,0.8895779155831166
128,1024,500,0.8895779155831166
128,1024,1000,0.8895779155831166
256,1.0001,0,0.8925785157031406
256,1.0001,1,0.8925785157031406
256,1.0001,10,0.8925785157031406
256,1.0001,50,0.8925785157031406
256,1.0001,100,0.8925785157031406
256,1.0001,500,0.8925785157031406
256,1.0001,1000,0.8925785157031406
256,2,0,0.8913782756551311
256,2,1,0.8913782756551311
256,2,10,0.8913782756551311
256,2,50,0.8913782756551311
256,2,100,0.8913782756551311
256,2,500,0.8913782756551311
256,2,1000,0.8913782756551311
256,4,0,0.890378075615123
256,4,1,0.890378075615123
256,4,10,0.890378075615123
256,4,50,0.890378075615123
256,4,100,0.890378075615123
256,4,500,0.890378075615123
256,4,1000,0.890378075615123
256,8,0,0.890378075615123
256,8,1,0.890378075615123
256,8,10,0.890378075615123
256,8,50,0.890378075615123
256,8,100,0.890378075615123
256,8,500,0.890378075615123
256,8,1000,0.890378075615123
256,16,0,0.8895779155831166
256,16,1,0.8895779155831166
256,16,10,0.8895779155831166
256,16,50,0.8895779155831166
256,16,100,0.8895779155831166
256,16,500,0.8895779155831166
256,16,1000,0.8895779155831166
256,32,0,0.8895779155831166
256,32,1,0.8895779155831166
256,32,10,0.8895779155831166
256,32,50,0.8895779155831166
256,32,100,0.8895779155831166
256,32,500,0.8895779155831166
256,32,1000,0.8895779155831166
256,64,0,0.8895779155831166
256,64,1,0.8895779155831166
256,64,10,0.8895779155831166
256,64,50,0.8895779155831166
256,64,100,0.8895779155831166
256,64,500,0.8895779155831166
256,64,1000,0.8895779155831166
256,128,0,0.8895779155831166
256,128,1,0.8895779155831166
256,128,10,0.8895779155831166
256,128,50,0.8895779155831166
256,128,100,0.8895779155831166
256,128,500,0.8895779155831166
256,128,1000,0.8895779155831166
256,256,0,0.8895779155831166
256,256,1,0.8895779155831166
256,256,10,0.8895779155831166
256,256,50,0.8895779155831166
256,256,100,0.8895779155831166
256,256,500,0.8895779155831166
256,256,1000,0.8895779155831166
256,512,0,0.8895779155831166
256,512,1,0.8895779155831166
256,512,10,0.8895779155831166
256,512,50,0.8895779155831166
256,512,100,0.8895779155831166
256,512,500,0.8895779155831166
256,512,1000,0.8895779155831166
256,1024,0,0.8895779155831166
256,1024,1,0.8895779155831166
256,1024,10,0.8895779155831166
256,1024,50,0.8895779155831166
256,1024,100,0.8895779155831166
256,1024,500,0.8895779155831166
256,1024,1000,0.8895779155831166
512,1.0001,0,0.8895779155831166
512,1.0001,1,0.8895779155831166
512,1.0001,10,0.8895779155831166
512,1.0001,50,0.8895779155831166
512,1.0001,100,0.8895779155831166
512,1.0001,500,0.8895779155831166
512,1.0001,1000,0.8895779155831166
512,2,0,0.8895779155831166
512,2,1,0.8895779155831166
512,2,10,0.8895779155831166
512,2,50,0.8895779155831166
512,2,100,0.8895779155831166
512,2,500,0.8895779155831166
512,2,1000,0.8895779155831166
512,4,0,0.8899779955991198
512,4,1,0.8899779955991198
512,4,10,0.8899779955991198
512,4,50,0.8899779955991198
512,4,100,0.8899779955991198
512,4,500,0.8899779955991198
512,4,1000,0.8899779955991198
512,8,0,0.8895779155831166
512,8,1,0.8895779155831166
512,8,10,0.8895779155831166
512,8,50,0.8895779155831166
512,8,100,0.8895779155831166
512,8,500,0.8895779155831166
512,8,1000,0.8895779155831166
512,16,0,0.8895779155831166
512,16,1,0.8895779155831166
512,16,10,0.8895779155831166
512,16,50,0.8895779155831166
512,16,100,0.8895779155831166
512,16,500,0.8895779155831166
512,16,1000,0.8895779155831166
512,32,0,0.8895779155831166
512,32,1,0.8895779155831166
512,32,10,0.8895779155831166
512,32,50,0.8895779155831166
512,32,100,0.8895779155831166
512,32,500,0.8895779155831166
512,32,1000,0.8895779155831166
512,64,0,0.8895779155831166
512,64,1,0.8895779155831166
512,64,10,0.8895779155831166
512,64,50,0.8895779155831166
512,64,100,0.8895779155831166
512,64,500,0.8895779155831166
512,64,1000,0.8895779155831166
512,128,0,0.8895779155831166
512,128,1,0.8895779155831166
512,128,10,0.8895779155831166
512,128,50,0.8895779155831166
512,128,100,0.8895779155831166
512,128,500,0.8895779155831166
512,128,1000,0.8895779155831166
512,256,0,0.8895779155831166
512,256,1,0.8895779155831166
512,256,10,0.8895779155831166
512,256,50,0.8895779155831166
512,256,100,0.8895779155831166
512,256,500,0.8895779155831166
512,256,1000,0.8895779155831166
512,512,0,0.8895779155831166
512,512,1,0.8895779155831166
512,512,10,0.8895779155831166
512,512,50,0.8895779155831166
512,512,100,0.8895779155831166
512,512,500,0.8895779155831166
512,512,1000,0.8895779155831166
512,1024,0,0.8895779155831166
512,1024,1,0.8895779155831166
512,1024,10,0.8895779155831166
512,1024,50,0.8895779155831166
512,1024,100,0.8895779155831166
512,1024,500,0.8895779155831166
512,1024,1000,0.8895779155831166
1024,1.0001,0,0.8895779155831166
1024,1.0001,1,0.8895779155831166
1024,1.0001,10,0.8895779155831166
1024,1.0001,50,0.8895779155831166
1024,1.0001,100,0.8895779155831166
1024,1.0001,500,0.8895779155831166
1024,1.0001,1000,0.8895779155831166
1024,2,0,0.8895779155831166
1024,2,1,0.8895779155831166
1024,2,10,0.8895779155831166
1024,2,50,0.8895779155831166
1024,2,100,0.8895779155831166
1024,2,500,0.8895779155831166
1024,2,1000,0.8895779155831166
1024,4,0,0.8895779155831166
1024,4,1,0.8895779155831166
1024,4,10,0.8895779155831166
1024,4,50,0.8895779155831166
1024,4,100,0.8895779155831166
1024,4,500,0.8895779155831166
1024,4,1000,0.8895779155831166
1024,8,0,0.8895779155831166
1024,8,1,0.8895779155831166
1024,8,10,0.8895779155831166
1024,8,50,0.8895779155831166
1024,8,100,0.8895779155831166
1024,8,500,0.8895779155831166
1024,8,1000,0.8895779155831166
1024,16,0,0.8895779155831166
1024,16,1,0.8895779155831166
1024,16,10,0.8895779155831166
1024,16,50,0.8895779155831166
1024,16,100,0.8895779155831166
1024,16,500,0.8895779155831166
1024,16,1000,0.8895779155831166
1024,32,0,0.8895779155831166
1024,32,1,0.8895779155831166
1024,32,10,0.8895779155831166
1024,32,50,0.8895779155831166
1024,32,100,0.8895779155831166
1024,32,500,0.8895779155831166
1024,32,1000,0.8895779155831166
1024,64,0,0.8895779155831166
1024,64,1,0.8895779155831166
1024,64,10,0.8895779155831166
1024,64,50,0.8895779155831166
1024,64,100,0.8895779155831166
1024,64,500,0.8895779155831166
1024,64,1000,0.8895779155831166
1024,128,0,0.8895779155831166
1024,128,1,0.8895779155831166
1024,128,10,0.8895779155831166
1024,128,50,0.8895779155831166
1024,128,100,0.8895779155831166
1024,128,500,0.8895779155831166
1024,128,1000,0.8895779155831166
1024,256,0,0.8895779155831166
1024,256,1,0.8895779155831166
1024,256,10,0.8895779155831166
1024,256,50,0.8895779155831166
1024,256,100,0.8895779155831166
1024,256,500,0.8895779155831166
1024,256,1000,0.8895779155831166
1024,512,0,0.8895779155831166
1024,512,1,0.8895779155831166
1024,512,10,0.8895779155831166
1024,512,50,0.8895779155831166
1024,512,100,0.8895779155831166
1024,512,500,0.8895779155831166
1024,512,1000,0.8895779155831166
1024,1024,0,0.8895779155831166
1024,1024,1,0.8895779155831166
1024,1024,10,0.8895779155831166
1024,1024,50,0.8895779155831166
1024,1024,100,0.8895779155831166
1024,1024,500,0.8895779155831166
1024,1024,1000,0.8895779155831166
